id_A,segment_id_A,source_file_A,id_B,segment_id_B,source_file_B,prediction
13336473_SWIOJTSM_RVFWPMSK_0_40,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_40,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_41,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_41,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_42,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_42,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_43,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_43,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_44,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_44,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_45,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_45,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_46,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_46,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_47,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_47,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_48,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_48,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_49,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_49,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_50,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_50,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_51,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_51,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_52,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_52,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_53,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_53,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_54,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_54,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_55,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_55,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_56,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_56,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_57,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_57,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_58,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_58,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_59,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_59,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_60,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_60,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_61,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_61,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_62,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_62,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_63,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_63,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_64,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_64,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_65,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_65,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_66,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_66,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_67,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_67,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_68,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_68,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_69,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_69,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_70,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_70,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_71,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_71,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_72,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_72,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_73,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_73,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_74,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_74,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_75,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_75,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_76,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_76,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_77,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_77,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_78,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_78,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_79,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_79,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_80,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_80,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_81,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_81,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_82,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_82,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_83,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_83,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_84,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_84,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_85,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_85,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_86,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_86,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_87,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_87,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_88,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_88,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_89,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_89,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_90,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_90,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_91,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_91,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_92,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_92,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_93,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_93,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_94,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_94,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_95,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_95,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_96,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_96,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_97,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_97,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_98,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_98,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_99,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_99,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_100,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_100,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_101,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_101,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_102,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_102,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_103,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_103,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_104,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_104,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_105,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_105,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_106,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_106,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_107,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_107,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
13336473_SWIOJTSM_RVFWPMSK_0_108,13336473_SWIOJTSM_RVFWPMSK_0,JWRARGWSGJZN,13336473_SWIOJTSM_RVFWPMSK_0_108,13336473_SWIOJTSM_RVFWPMSK_0,ULWGIXVZAPFO,0
